Radius,Vobs,Verr,Vbar
0.32,44.0,8.0,139.87986381177242
0.64,64.0,8.0,144.38413676716706
0.96,128.0,8.0,147.86312065555765
1.28,148.0,8.0,154.93418263895157
1.6,157.0,8.0,159.7875414417532
1.92,189.0,8.0,164.14435445667937
2.24,195.0,6.0,177.85816455816698
2.56,201.0,6.0,197.38021050753795
2.88,214.0,4.0,206.77705784249858
3.2,215.0,4.0,213.1090344166572
3.52,215.0,4.0,211.70492306510025
3.84,216.0,3.0,205.7450170721031
4.8,214.0,2.0,195.78140782515584
5.76,210.0,2.0,182.75344415359183
6.72,205.0,2.0,169.26171613805647
7.68,203.0,1.0,158.54612751499167
8.64,201.0,1.0,150.36337336598962
9.6,201.0,1.0,143.5696987529054
10.56,199.0,1.0,138.13511501424972
11.52,197.0,1.0,133.68916354738704
12.48,196.0,2.0,128.7974557202121
13.44,193.0,3.0,123.79914115210978
14.4,190.0,3.0,119.3286091010869
15.36,188.0,5.0,115.22578422384463
16.32,187.0,5.0,111.64875682245638
17.28,188.0,3.0,108.15581630222205
18.24,186.0,3.0,105.10126164799355
19.2,185.0,3.0,102.32565074310546
20.16,185.0,3.0,99.70585213516807
21.12,181.0,3.0,97.364790864049
22.08,178.0,3.0,95.27002335467331
23.04,177.0,3.0,93.24673667212167
24.0,182.0,4.0,91.60687556073506
24.96,180.0,8.0,90.00462238129772
