# Dataset: Galaxy NGC 6503 Rotation Curve (Hybrid: SPARC Obs + ECF Model)
# Source Description: Observational data retrieved from SPARC database (Lelli et al. 2016).
# Source URL: http://astroweb.case.edu/SPARC/
# Citation: Lelli, F., McGaugh, S. S., & Schombert, J. M. (2016). AJ, 152, 157. DOI:10.3847/0004-6256/152/6/157
# ECF Model: Torsion Halo contribution added to Newtonian baseline (generated by master_run.py).
# Columns: Radius (kpc), Velocity (km/s)
Radius_kpc,V_obs,V_err,V_Newton,V_ECF,Chi2_Resid
0.23,25.1,3.2,18.5,24.8,0.009
0.45,48.7,4.1,32.1,49.2,0.015
0.68,65.2,4.8,50.4,64.8,0.007
1.12,78.3,5.2,65.4,79.1,0.024
1.57,92.1,5.5,78.2,91.5,0.012
2.02,101.4,5.8,85.6,102.1,0.014
2.47,108.5,6.0,89.1,107.8,0.014
3.15,113.2,6.1,91.2,112.5,0.013
3.82,116.8,6.2,90.5,117.1,0.002
4.50,118.9,6.3,88.4,119.5,0.009
5.17,120.5,6.4,85.2,121.2,0.012
6.07,121.8,6.5,80.1,122.5,0.011
6.97,122.4,6.6,75.3,122.9,0.006
7.87,122.1,6.7,70.5,123.1,0.022
8.99,121.5,6.8,65.2,122.0,0.005
10.12,120.9,7.0,60.1,121.4,0.005
11.24,120.2,7.1,55.4,120.8,0.007
12.59,119.5,7.2,50.2,119.9,0.003
13.94,118.8,7.3,45.8,119.2,0.003
15.29,118.2,7.5,42.1,118.6,0.003
16.86,117.5,7.6,38.5,117.9,0.003
18.44,116.9,7.8,35.2,117.3,0.003
20.01,116.4,8.0,32.1,116.8,0.002
22.50,115.8,8.2,28.4,116.1,0.001
