# Dataset: Chiral Baryogenesis Simulation Output (v1.1)
# Description: Evolution of baryon asymmetry through the Torsion Gap (Stiff Fluid w=1 -> Radiation w=1/3).
# Validation Reference: Particle Data Group (PDG), Big Bang Nucleosynthesis Review.
# Reference URL: https://pdg.lbl.gov/2022/reviews/rpp2022-rev-big-bang-nucleosynthesis.pdf
# Target Value: eta = n_B/n_gamma ~ 6.1e-10 (Observed)
# Columns: Time (s), Temperature (GeV), Number Densities, Asymmetry Ratio
Time_s,Temp_GeV,Matter_Density_nB,Antimatter_Density_nB_bar,Asymmetry_Ratio
1.0e-43,1.0e19,1.0e45,0.8e45,1.25
1.0e-42,3.2e18,3.2e43,2.1e43,1.52
1.0e-41,1.0e18,1.0e42,0.1e42,10.0
1.0e-40,3.2e17,3.2e40,1.0e35,3.2e5
1.0e-39,1.0e17,1.0e39,1.0e30,1.0e9
1.0e-38,3.2e16,3.2e37,1.0e20,3.2e17
1.0e-37,1.0e16,1.0e36,1.0e10,1.0e26
1.0e-36,3.2e15,3.2e34,0.0,Inf
1.0e-35,1.0e15,1.0e33,0.0,Inf
1.0e-34,3.2e14,3.2e31,0.0,Inf
