Radius,Vobs,Verr,Vbar
0.76,77.0,10.0,50.16952062756829
1.52,100.0,5.0,87.42704873207147
2.28,110.0,2.0,101.32898499442298
3.04,118.0,2.0,95.85731375330731
3.79,121.0,2.0,87.27292220385426
4.55,121.0,2.0,80.23664281361727
5.31,117.0,2.0,75.0747557438584
6.07,116.0,2.0,70.9876837909225
6.83,116.0,2.0,68.12950682340214
7.59,116.0,2.0,65.6337397989784
8.35,115.0,1.0,63.124205737577405
9.11,115.0,1.0,61.14453859503725
9.86,116.0,1.0,59.72364397790878
10.64,117.0,1.0,58.30564123650473
11.38,117.0,1.0,57.02656749270466
12.12,118.0,1.0,55.971208670172565
12.86,117.0,1.0,55.12238837350937
13.7,116.0,1.0,54.111924748617106
14.44,115.0,1.0,52.989629645808996
15.18,117.0,1.0,51.83584618774926
15.91,116.0,1.0,50.834084038172655
16.65,115.0,2.0,50.10778532324094
17.49,115.0,2.0,49.1675233258703
18.23,115.0,2.0,48.226076452475375
18.97,114.0,2.0,47.19842423217114
19.71,115.0,2.0,46.39607526504801
20.45,114.0,2.0,45.687338508606516
21.29,116.0,2.0,44.94587133430611
22.03,115.0,3.0,44.24352155965887
22.76,118.0,4.0,43.58707319836926
23.5,115.0,10.0,42.8770760430326
