Multipole_ell,D_ell_Observed_muK2,Error_Margin,Source
2,693.1880549473972,84.65940274736985,Mock_Planck_2018_Release
6,578.529303874592,78.9264651937296,Mock_Planck_2018_Release
10,609.9942445775816,80.49971222887908,Mock_Planck_2018_Release
14,902.8222012407883,95.14111006203942,Mock_Planck_2018_Release
18,1026.5332021732079,101.3266601086604,Mock_Planck_2018_Release
22,870.8109983349001,93.54054991674501,Mock_Planck_2018_Release
26,1023.5785203460937,101.17892601730469,Mock_Planck_2018_Release
30,935.9786466671868,96.79893233335935,Mock_Planck_2018_Release
34,795.5186467736623,89.77593233868312,Mock_Planck_2018_Release
38,919.29811890773,95.9649059453865,Mock_Planck_2018_Release
42,843.2859163763488,92.16429581881744,Mock_Planck_2018_Release
46,835.1774529222619,91.7588726461131,Mock_Planck_2018_Release
50,857.7914745902389,92.88957372951194,Mock_Planck_2018_Release
65,745.7360455628445,87.28680227814223,Mock_Planck_2018_Release
80,741.4459823149487,87.07229911574743,Mock_Planck_2018_Release
95,794.3324307855623,89.71662153927812,Mock_Planck_2018_Release
110,823.7338989483303,91.18669494741653,Mock_Planck_2018_Release
125,1028.0505639711557,101.40252819855779,Mock_Planck_2018_Release
140,1262.991125424246,113.1495562712123,Mock_Planck_2018_Release
155,1736.2056941108497,136.81028470554247,Mock_Planck_2018_Release
170,2846.759167863649,192.33795839318245,Mock_Planck_2018_Release
185,3518.0818498402837,225.9040924920142,Mock_Planck_2018_Release
200,4357.633739112299,267.88168695561495,Mock_Planck_2018_Release
215,4395.445421385104,269.7722710692552,Mock_Planck_2018_Release
230,4446.840336502663,272.3420168251332,Mock_Planck_2018_Release
245,3939.076208081181,246.95381040405906,Mock_Planck_2018_Release
260,2833.57563162039,191.6787815810195,Mock_Planck_2018_Release
275,2153.484367121569,157.67421835607846,Mock_Planck_2018_Release
290,1378.7858431555042,118.93929215777521,Mock_Planck_2018_Release
305,963.3964874660156,98.16982437330078,Mock_Planck_2018_Release
320,713.9907468277866,85.69953734138933,Mock_Planck_2018_Release
335,679.4236022173247,83.97118011086624,Mock_Planck_2018_Release
350,573.570055289747,78.67850276448735,Mock_Planck_2018_Release
365,528.6762136334893,76.43381068167446,Mock_Planck_2018_Release
380,584.4106661786498,79.22053330893249,Mock_Planck_2018_Release
395,546.6905598228715,77.33452799114357,Mock_Planck_2018_Release
410,631.7698504732547,81.58849252366274,Mock_Planck_2018_Release
425,627.6457651567764,81.38228825783882,Mock_Planck_2018_Release
440,744.3699872942685,87.21849936471344,Mock_Planck_2018_Release
455,937.0974627924717,96.85487313962358,Mock_Planck_2018_Release
470,1118.523851541301,105.92619257706505,Mock_Planck_2018_Release
485,1243.2503299459304,112.16251649729652,Mock_Planck_2018_Release
500,1359.5732300017787,117.97866150008893,Mock_Planck_2018_Release
515,1437.6699946795525,121.88349973397763,Mock_Planck_2018_Release
530,1380.5775365205907,119.02887682602953,Mock_Planck_2018_Release
545,1400.4796390463455,120.02398195231727,Mock_Planck_2018_Release
560,1319.0576020454098,115.9528801022705,Mock_Planck_2018_Release
575,1262.2019193741432,113.11009596870716,Mock_Planck_2018_Release
590,1038.9847768769323,101.94923884384662,Mock_Planck_2018_Release
605,767.1367260411421,88.3568363020571,Mock_Planck_2018_Release
620,688.2364709590641,84.41182354795322,Mock_Planck_2018_Release
635,530.3152932125354,76.51576466062677,Mock_Planck_2018_Release
650,420.6798061766858,71.03399030883429,Mock_Planck_2018_Release
665,370.1243860248495,68.50621930124248,Mock_Planck_2018_Release
680,322.1778808835082,66.10889404417541,Mock_Planck_2018_Release
695,283.30452285780314,64.16522614289016,Mock_Planck_2018_Release
710,235.9681564862014,61.79840782431007,Mock_Planck_2018_Release
725,225.2545596902432,61.26272798451216,Mock_Planck_2018_Release
740,218.77543032877244,60.93877151643862,Mock_Planck_2018_Release
755,213.7178810491728,60.68589405245864,Mock_Planck_2018_Release
770,188.88006229927788,59.44400311496389,Mock_Planck_2018_Release
