Multipole_ell,D_ell_LambdaCDM_Theory,D_ell_ECF_Theory
2,1174.6109517251903,713.0455510456712
3,1127.9259857332029,694.4462356380288
4,1095.9245355820754,687.6451258643365
5,1071.7211786272394,688.1138797079234
6,1052.335202927154,693.6388400932051
7,1036.2107159822215,702.8392818125483
8,1022.4352085113271,714.7099571506094
9,1010.4287901007639,728.4478916872047
10,999.8005950842573,743.3795815208077
11,990.2749990437691,758.9290577286455
12,981.6505642595848,774.6038020229197
13,973.7757315884035,789.9884190151635
14,966.5336904768363,804.7412449595009
15,959.8325665902256,818.5914993040802
16,953.5988351756778,831.3358225842085
17,947.7727683191088,842.8337292418634
18,942.3052076522241,853.001903314811
19,937.1552258298838,861.8074991277931
20,932.2883990038806,869.2607377117769
21,927.675508661138,875.4071457502839
22,923.2915511325323,880.3197885857451
23,919.1149714508988,884.0918177705229
24,915.1270633910482,886.8295993478146
25,911.311494368093,888.6466219596097
26,907.6539253673683,889.6583126517263
27,904.1417040646337,889.977819723591
28,900.7636149304057,889.7127611707108
29,897.5096741471493,888.9628874309195
30,894.3709600959813,887.8185698809059
31,891.339472320549,886.3600020529778
32,888.4080134741811,884.6569879747435
33,885.5700899568102,882.769189729705
34,882.8198278586677,880.7467122002463
35,880.1519015246932,878.6309147294269
36,877.5614725917485,876.4553549378958
37,875.0441377696022,874.2467872100854
38,872.5958839652025,872.0261558175987
39,870.2130496093079,869.80953906746
40,867.8922912509853,867.6090154302598
41,865.630554650741,865.4334348553649
42,863.4250497361414,863.2890882517386
43,861.2732288915888,861.1802754664795
44,859.1727681417306,859.1097772505514
45,857.121550859874,857.079239978806
46,855.1176536919423,855.0894836472393
47,853.159334435414,853.1407442627
48,851.2450216533053,851.2328614991187
49,849.3733058371295,849.3654217043853
50,847.5429319611309,847.5378652347179
51,845.7527932939298,845.7495658461705
52,844.0019263538154,843.9998886134166
53,842.289506910929,842.2882316588218
54,840.6148469540162,840.6140559101595
55,838.9773925516753,838.9769061867866
56,837.3767225484928,837.3764261466519
57,835.8125480453556,835.8123690026798
58,834.2847126208283,834.2846054222011
59,832.7931932569668,832.7931296391189
60,831.3381019384504,831.338064516539
61,829.9196878985825,829.9196660798043
62,828.5383404896683,828.5383278803197
63,827.1945926585613,827.1945854356378
64,825.8891250109117,825.889120909891
65,824.6227704498591,824.6227681418898
66,823.3965193766692,823.3965180892267
67,822.2115254421469,822.2115247303009
68,821.0691118386039,821.0691114484774
69,819.9707781227468,819.9707779108194
70,818.9182075601004,818.9182074459883
71,817.9132749815108,817.9132749206075
72,816.9580551419103,816.9580551096911
73,816.0548315708597,816.0548315539648
74,815.2061059034479,815.2061058946665
75,814.4146076789328,814.4146076744086
76,813.68330459302,813.6833045907096
77,813.0154131879814,813.0154131868119
