Time_Hours,Flux_Normalized,Flux_Error
0.2000,0.0248,0.0745
0.3430,0.0029,0.0350
0.4861,0.3244,0.0446
0.6291,0.1058,0.0653
0.7722,0.0000,0.0337
0.9152,0.0000,0.0246
1.0582,0.0790,0.0374
1.2013,0.0384,0.0297
1.3443,0.0000,0.0758
1.4873,0.5503,0.0685
1.6304,0.0000,0.0580
1.7734,0.0000,0.0723
1.9165,0.0297,0.0682
2.0595,0.0233,0.0312
2.2025,0.8137,0.0736
2.3456,0.8688,0.0524
2.4886,0.8432,0.0684
2.6316,0.9065,0.0738
2.7747,0.8423,0.0391
2.9177,0.8140,0.0266
3.0608,0.9548,0.0337
3.2038,0.8672,0.0456
3.3468,0.8788,0.0691
3.4899,0.8011,0.0716
3.6329,0.8421,0.0204
3.7759,0.8718,0.0506
3.9190,0.8056,0.0450
4.0620,0.8789,0.0333
4.2051,0.8270,0.0272
4.3481,0.8394,0.0403
4.4911,0.8208,0.0766
4.6342,0.9405,0.0394
4.7772,0.8441,0.0511
4.9203,0.7888,0.0622
5.0633,0.8798,0.0418
5.2063,0.7745,0.0783
5.3494,0.8430,0.0777
5.4924,0.7315,0.0351
5.6354,0.7600,0.0498
5.7785,0.8332,0.0381
5.9215,0.8572,0.0371
6.0646,0.8258,0.0222
6.2076,0.8083,0.0566
6.3506,0.7960,0.0502
6.4937,0.7341,0.0231
6.6367,0.7689,0.0367
6.7797,0.7788,0.0745
6.9228,0.8517,0.0344
7.0658,0.8129,0.0287
7.2089,0.7045,0.0494
7.3519,0.8058,0.0791
7.4949,0.7673,0.0345
7.6380,0.7496,0.0603
7.7810,0.8110,0.0657
7.9241,0.8289,0.0343
8.0671,0.8208,0.0637
8.2101,0.7293,0.0421
8.3532,0.7527,0.0579
8.4962,0.7816,0.0580
8.6392,0.8108,0.0521
8.7823,0.7350,0.0254
8.9253,0.7466,0.0701
9.0684,0.6975,0.0392
9.2114,0.5396,0.0312
9.3544,0.0749,0.0224
9.4975,0.0698,0.0555
9.6405,0.0000,0.0607
9.7835,0.0502,0.0210
9.9266,0.0181,0.0507
10.0696,0.0000,0.0336
10.2127,0.0181,0.0587
10.3557,0.0769,0.0305
10.4987,0.0000,0.0615
10.6418,0.0782,0.0432
10.7848,0.0000,0.0762
10.9278,0.0411,0.0283
11.0709,0.0044,0.0405
11.2139,0.0000,0.0268
11.3570,0.0046,0.0755
11.5000,0.0000,0.0726
