R_effective_Mpc_h,VSF_observed_density,Error_margin,Source
15,0.2537152312228104,0.05582207099487102,SDSS_BOSS_DR12_Mock
20,0.3880140993006068,0.07882430425036135,SDSS_BOSS_DR12_Mock
25,0.5335956297834558,0.09712474604606525,SDSS_BOSS_DR12_Mock
30,0.6168014237550571,0.10566657920942246,SDSS_BOSS_DR12_Mock
35,0.5476705265119037,0.10320426916304058,SDSS_BOSS_DR12_Mock
40,0.47304534971548867,0.09201041876359461,SDSS_BOSS_DR12_Mock
45,0.42214040558903104,0.0762146031685714,SDSS_BOSS_DR12_Mock
50,0.28911194975694793,0.0599133361823541,SDSS_BOSS_DR12_Mock
55,0.15877249571851323,0.04592850909448427,SDSS_BOSS_DR12_Mock
60,0.11946692631848237,0.03547851875163551,SDSS_BOSS_DR12_Mock
